t,B,R,E
16.9,0.156300848911806,0.0193541219731496,0.00429643745831052
17,0.157822115595746,0.0194142618164156,0.00432866937944387
17.1,0.159357701545628,0.0194756263181502,0.00436072292800082
17.2,0.160907732023795,0.0195382237163227,0.00439260685765704
17.3,0.162472333202189,0.0196020623332186,0.00442432983285495
17.4,0.164051632165226,0.0196671505759285,0.00445590043055186
17.5,0.165645756912587,0.0197334969368359,0.00448732714194456
17.6,0.167254836361941,0.019801109994107,0.00451861837417064
17.7,0.168879000351581,0.019869998412179,0.00454978245198683
17.8,0.170518379642977,0.0199401709422504,0.00458082761942491
17.9,0.17217310592325,0.0200116364227694,0.0046117620414253
18,0.173843311807553,0.020084403779924,0.00464259380544881
18.1,0.175529130841365,0.0201584820281311,0.00467333092306679
18.2,0.177230697502687,0.0202338802705254,0.00470398133153003
18.3,0.178948147204154,0.0203106076994481,0.00473455289531678
18.4,0.180681616295039,0.0203886735969356,0.00476505340766008
18.5,0.182431242063162,0.0204680873352074,0.00479549059205483
18.6,0.184197162736694,0.020548858377153,0.00482587210374479
18.7,0.185979517485857,0.0206309962768189,0.00485620553118992
18.8,0.187778446424516,0.0207145106798946,0.00488649839751423
18.9,0.189594090611657,0.020799411324197,0.0049167581619345
19,0.191426592052756,0.0208857080401549,0.00494699222117017
19.1,0.193276093701027,0.0209734107512917,0.00497720791083457
19.2,0.195142739458549,0.0210625294747069,0.00500741250680791
19.3,0.19702667417728,0.0211530743215566,0.00503761322659215
19.4,0.198928043659933,0.0212450554975322,0.0050678172306481
19.5,0.200846994660729,0.0213384833033376,0.00509803162371501
19.6,0.202783674886024,0.021433368135165,0.00512826345611285
19.7,0.204738232994786,0.0215297204851688,0.00515851972502753
19.8,0.206710818598955,0.0216275509419367,0.00518880737577943
19.9,0.20870158226364,0.0217268701909602,0.00521913330307528
20,0.210710675507188,0.0218276890151018,0.00524950435224375
20,0.125585397632257,0.0388527445900879,0.00524950435224375
20.1,0.12681553970774,0.0387848507510354,0.00536399387878138
20.2,0.128057414790861,0.0387185284537454,0.00547644585015631
20.3,0.129311128562283,0.0386537816165283,0.00558689841039378
20.4,0.130576787532003,0.0385906142439823,0.00569538915528832
20.5,0.131854499043396,0.0385290304273923,0.00580195514099501
20.6,0.133144371277238,0.0384690343451311,0.00590663289249492
20.7,0.134446513255688,0.0384106302630622,0.00600945841193642
20.8,0.135761034846232,0.0383538225349447,0.00611046718685432
20.9,0.137088046765594,0.0382986156028401,0.00620969419826872
21,0.138427660583598,0.0382450139975209,0.00630717392866523
21.1,0.139779988727,0.0381930223388812,0.00640294036985847
21.2,0.141145144483265,0.0381426453363486,0.00649702703074051
21.3,0.142523242004307,0.0380938877892983,0.00658946694491599
21.4,0.143914396310181,0.0380467545874686,0.00668029267822566
21.5,0.145318723292719,0.0380012507113779,0.00676953633615995
21.6,0.146736339719129,0.0379573812327436,0.00685722957116427
21.7,0.148167363235531,0.0379151513149019,0.00694340358983756
21.8,0.149611912370439,0.0378745662132293,0.00702808916002585
21.9,0.151070106538199,0.0378356312755656,0.00711131661781223
22,0.152542066042351,0.0377983519426384,0.00719311587440491
22.1,0.15402791207895,0.0377627337484875,0.00727351642292477
22.2,0.155527766739807,0.0377287823208925,0.00735254734509405
22.3,0.157041753015684,0.0376965033817995,0.00743023731782753
22.4,0.158569994799406,0.0376659027477504,0.00750661461972771
22.5,0.160112616888922,0.037636986330312,0.00758170713748542
22.6,0.161669744990279,0.0376097601365066,0.00765554237218729
22.7,0.163241505720535,0.037584230269243,0.00772814744553141
22.8,0.164828026610597,0.0375604029277488,0.00779954910595264
22.9,0.166429436107973,0.0375382844080027,0.00786977373465886
23,0.16804586357946,0.0375178811031677,0.00793884735157945
23.1,0.169677439313731,0.0374991995040244,0.00800679562122745
23.2,0.17132429452386,0.0374822461994056,0.00807364385847649
23.3,0.172986561349742,0.0374670278766298,0.008139417034254
23.4,0.174664372860434,0.0374535513219363,0.00820413978115164
23.5,0.176357863056407,0.0374418234209195,0.00826783639895455
23.6000000000001,0.178067166871695,0.0374318511589638,0.00833053086009028
23.7000000000001,0.179792420175956,0.0374236416216776,0.00839224681499885
23.8000000000001,0.181533759776431,0.0374172019953284,0.00845300759742495
23.9000000000001,0.183291323419803,0.0374125395672766,0.00851283622963359
24.0000000000001,0.185065249793947,0.0374096617264091,0.00857175542755015
24.1000000000001,0.186855678529583,0.0374085759635729,0.00862978760582611
24.2000000000001,0.188662750201807,0.0374092898720079,0.00868695488283156
24.3000000000001,0.190486606331519,0.0374118111477786,0.00874327908557539
24.4000000000001,0.192327389386734,0.0374161475902057,0.00879878175455454
24.5000000000001,0.19418524278377,0.0374223071022963,0.00885348414853302
24.6000000000001,0.196060310888322,0.0374302976911732,0.00890740724925207
24.7000000000001,0.197952739016404,0.0374401274685032,0.00896057176607222
24.8000000000001,0.199862673435172,0.0374518046509242,0.0090129981405484
24.9000000000001,0.201790261363612,0.0374653375604705,0.00906470655093902
25.0000000000001,0.203735650973093,0.0374807346249968,0.00911571691665009
25.1000000000001,0.205698991387794,0.0374980043786012,0.0091660489026152
25.2000000000001,0.207680432684973,0.0375171554620454,0.00921572192361243
25.3000000000001,0.209680125895115,0.0375381966231734,0.00926475514851909
25.4000000000001,0.211698223001916,0.0375611367173288,0.00931316750450511
